,Star_name,Distance,Mass,Radius,Gravity
0,Sun,1.58e-05,1.0,1.0,40353533361789.91
1,Sirius,8.6,2.1,1.71,28980684675544.207
2,Canopus,310.0,15.0,71.0,120075977073.36812
3,Alpha Centauri,4.4,1.1,1.2,30825615762478.402
4,Arcturus,37.0,1.1,26.0,65664033576.877075
5,Vega,25.0,2.2,2.7,12178021041966.775
6,Capella,43.0,2.6,12.0,728605463476.7625
7,Rigel,860.0,23.0,78.9,149092362718.87497
8,Procyon,11.4,1.5,1.9,16767396133707.723
9,Betelgeuse,640.0,20.0,950.0,894261127.1310782
10,Achernar,144.0,6.7,9.3,3126010793432.678
11,Hadar,390.0,10.5,8.6,5728935915343.348
12,Altair,17.0,1.8,1.8,22418629645438.84
13,Acrux,320.0,18.0,8.9,9170099741348.545
14,Aldebaran,65.0,1.5,44.0,31265650848.49425
15,Antares,600.0,12.0,680.0,1047237024.9599459
16,Spica,260.0,11.43,7.47,8265832384876.564
17,Pollux,34.0,1.9,8.8,990078943535.6508
18,Fomalhaut,25.0,1.9,1.8,23664109070185.438
19,Deneb,2600.0,19.0,203.0,18605574847.09671
20,Mimosa,350.0,16.0,8.4,9150461079770.955
21,Regulus,77.0,3.8,3.1,15956652109760.838
22,Adhara,430.0,12.5,14.0,2573567178685.581
23,Shaula,700.0,14.5,8.8,7555865621719.442
24,Castor,52.0,2.8,2.4,19616300939758.98
25,Gacrux,88.0,1.5,84.0,8578557262.285273
26,Bellatrix,240.0,8.6,5.8,10316301632324.414
27,Elnath,130.0,5.0,4.2,11438076349713.691
28,Miaplacidus,110.0,3.5,6.8,3054441322799.8423
29,Alnilam,2000.0,32.0,42.0,732036886381.6764
30,Gamma Velorum,1100.0,9.0,6.0,10088383340447.479
31,Alnair,101.0,4.0,3.4,13963160332799.275
32,Alioth,81.0,2.9,4.2,6634084282833.942
33,Alnitak,1050.0,33.0,20.0,3329166502347.6685
34,Dubhe,120.0,4.25,30.0,190558351986.2301
35,Mirfak,590.0,8.5,68.0,74179289267.99615
36,Wezen,1600.0,17.0,200.0,17150251678.760712
37,Sargas,270.0,5.7,26.0,340259083080.18115
38,Kaus Australis,140.0,3.5,6.8,3054441322799.8423
39,Avior,630.0,9.0,130.0,21490047352.432495
40,Alkaid,104.0,6.1,3.4,21293819507518.895
41,Menkalinan,81.0,2.39,2.77,12569555804803.646
42,Atria,390.0,7.0,92.0,33373668895.6202
43,Alhena,109.0,2.8,3.3,10375564133426.24
44,Peacock,180.0,5.9,4.8,10333587102194.465
45,Alsephina[2],80.0,2.4,2.9,11515871589571.438
46,Mirzam,500.0,13.5,10.0,5447727003841.639
47,Polaris,430.0,5.4,39.0,143266982349.55002
48,Alphard,180.0,3.0,50.0,48424240034.1479
49,Scheat,196.0,2.1,95.0,9389741834.876322
50,Almaaz,653.0,15.0,140.0,30882806144.22697
51,Rasalgethi,360.0,2.8,280.0,1441197620.0639253
52,Tau Ceti,11.9,0.783,0.893,39622366599345.55
53,Delta Pavonis,19.92,0.991,1.22,26868013680149.023
54,Ran,10.48,0.82,0.74,60427131768933.02
55,V382 Carinae,8900.0,20.0,485.0,3431058209.1010656
56,Eta Carinae,7500.0,100.0,881.0,5199118914.991852
57,Delta Cephei,887.0,4.5,44.5,91700997413.48547
58,Mu Cephei,6000.0,19.2,972.0,820068757.0347996
59,Titawin,44.25,1.27,1.48,23397090654434.434
60,Rho Cassiopeiae,8154.0,22.0,800.0,1387152709.3115284
61,P Cygni,5545.0,30.0,76.0,209592451671.3465
62,VV Cephei,4900.0,18.2,750.0,1305660990.5503578
63,61 Cygni,11.41,0.7,0.665,63875794795077.03
64,R Doradus,178.0,0.8,298.0,363528970.4228631
65,Polaris Australis,281.0,1.59,3.74,4587071266353.482
66,R Coronae Borealis,4566.0,0.85,85.0,4747474513.151754
67,54 Piscium,36.1,0.76,0.94,34708788314803.46
68,Mira,300.0,1.2,370.0,353719795.7205836
69,RW Cephei,14000.0,13.9,1158.0,418291701.88676196
70,Lacaille 8760,12.87,0.6,0.51,93087735551995.17
71,V838 Monocerotis,19896.0,0.5,450.0,99638353.97972818
72,HD 140283,190.0,2.0,1.4,41177074858969.305
73,II Pegasi,130.0,0.8,3.4,2792632066559.8555
74,VY Canis Majoris,3900.0,17.0,1420.0,340215268.374543
75,Pistol Star,25000.0,100.0,320.0,39407747423.62296
76,S Doradus,169000.0,24.0,380.0,6706958453.483088
77,UY Scuti,5100.0,7.0,755.0,495547973.39156955
78,Barnard's Star,5.98,0.14,0.2,141237366766264.7
79,Luhman 16,6.52,0.04,0.02,4035353336178991.5
80,Proxima Centauri,4.25,0.12,0.15,215218844596212.84
81,KIC 8462852,1470.0,1.43,1.58,23115507413619.44
82,R136a1,163000.0,290.0,32.0,11428246752850.658
83,Melnick 42,163000.0,189.0,21.1,17130832203630.402
84,WR 102,18134.0,19.0,0.39,5040875304891573.0
85,VFTS 352,164000.0,57.48,14.47,11077997552000.607
86,YBP 1194,2772.0,1.01,0.99,41584602280795.65
87,Gliese 1214,47.5,0.16,0.21,146407377276335.28
88,NML Cygni,5251.0,50.0,1900.0,558913204.456924
89,VB 10,18.72,0.075,0.1,302651500213424.3
90,WOH G64,163000.0,20.0,1600.0,315261979.38898367
91,TRAPPIST-1,39.6,0.089,0.12,249407254805507.03
92,2MASS J0523-1403,40.3,0.07,0.086,381929061022890.06
93,WISE 0855−0714,7.27,0.003,0.086,16368388329552.43
94,Icarus,14400000000.0,33.0,0.2,3.329166502347668e+16
95,SDSS J000013.54+255418.6 [de],46.1,0.045820224,0.10173537,178646634002615.2
96,2MASS J00040288-6410358,192.0,0.018137172,0.16750369,26085693177303.285
97,2MASS J00242463-0158201,37.7,0.075412452,0.11201167,242548216215159.66
98,2MASS J00274197+0503417,236.0,0.029592228,0.14797872,54533164399724.11
99,2MASSW J0030300-145033,87.2,0.051547752,0.10070774,205099970568730.28
100,2MASS J00332386-1521309 [de],131.0,0.027683052,0.14695109,51730885511851.96
101,2MASS J00345157+0523050,31.0,0.040092696,0.09659722,173387415388997.03
102,2MASS 0036+1821,28.6,0.040092696,0.09659722,173387415388997.03
103,2MASSW J0045214+163445,57.0,0.021955524,0.16647606,31968465948384.652
104,WISEP J004701.06+680352.1 [fr],40.0,0.011455056,0.1335919,25901119228692.77
105,2MASS J00501994-3322402 [de],34.0,0.03818352,0.09659722,165130871799044.84
106,2MASS J00584253-0651239 [de],96.0,0.027683052,0.14695109,51730885511851.96
107,2MASSI J0103320+193536,70.0,0.049638576,0.10070774,197503675362481.0
108,SDSSp J010752.33+004156.1 [de],51.0,0.049638576,0.10070774,197503675362481.0
109,2MASSI J0117474-340325 [de],163.0,0.01909176,0.16647606,27798666042073.617
110,2MASS J01415823-4633574 [de],130.0,0.01909176,0.16544843,28145063524099.38
111,SDSS J015141.69+124429.6,70.0,0.044865636,0.09968011,182212589040198.03
112,SDSS J020742.48+000056.2 [de],111.0,0.044865636,0.09968011,182212589040198.03
113,2MASS J02103857-3015313,101.0,0.01431882,0.15722739,23373964872747.023
114,2MASS J02340093-6442068,155.0,0.01909176,0.16647606,27798666042073.617
115,2MASS J02411151-0326587 [de],152.0,0.025773876,0.14489583,49539261539713.445
116,2MASS J02431371−2453298,35.0,0.031501404,0.10173537,122819560876797.94
117,LP 771-21,53.0,0.074457864,0.11098404,243933294519196.0
118,Teegarden's star,12.578,0.07636704,0.13050901,180928313375455.38
119,2MASS J02535980+3206373,184.0,0.06204822,0.1952497,65679546335916.5
120,WISE J0254+0223,24.0,0.06204822,0.1952497,65679546335916.5
121,DEN 0255-4700,16.2,0.07636704,0.09968011,310149087727996.7
122,2MASS J03185403-3421292 [de],45.0,0.046774812,0.09968011,189966316233397.94
123,2MASS J03205965+1854233,47.0,0.084003744,0.11817745,242723027831833.03
124,2MASS J03231002-4631237,192.0,0.021955524,0.17058658,30446379022695.86
125,SDSS J032553.17+042540.1,59.0,0.04295646,0.09762485,181881820622538.0
126,2MASS J03264225-2102057 [de],80.0,0.017182584,0.1335919,38851678843039.15
127,2MASS J03284265+2302051 [de],98.0,0.051547752,0.10070774,205099970568730.28
128,2MASS J03341218-4953322,27.0,0.069684924,0.10687352,246195534335230.84
129,LP 944-20,20.9,0.069684924,0.14695109,130219125598799.73
130,2MASP J0345432+254023,88.0,0.070639512,0.10790115,244837034825420.94
131,Teide 1,380.0,0.05250234,0.38844414,14041162949822.896
132,2MASS J03510004-0052452,48.0,0.097367976,0.13050901,230683599553705.66
133,2MASS J03552337+1133437,29.8,0.01909176,0.13564716,41870304844362.95
134,2MASS J04151954−0935066,18.6,0.02863764,0.09762485,121254547081691.98
135,2MASS J04285096-2253227 [de],85.0,0.07636704,0.11201167,245618446800161.7
136,2MASS J04351612-1606574,34.0,0.0954588,0.12948138,229764484633465.6
137,2MASS J04362788-4114465,142.0,0.037228932,0.20244311,36656934567650.57
138,2MASS J04390101-2353083 [de],29.5,0.045820224,0.09968011,186089452636797.97
139,2MASS J04433764+0002040,82.0,0.021000936,0.18291814,25328336408565.777
140,2MASS J04455387-3048204 [de],42.0,0.061093632,0.102763,233455421314617.62
141,2MASS J04510093-3402150 [de],69.0,0.000992772,7.398936,731800237.379124
142,2MASS J05002100+0330501 [de],44.0,0.061093632,0.102763,233455421314617.62
143,2MASS J05012406-0010452 [de],64.0,0.020046348,0.14181294,40223986619858.695
144,2MASS J05160945-0445499 [de],73.0,0.044865636,0.09968011,182212589040198.03
145,2MASS J0523−1403,40.0,0.064911984,0.10379063,243158891429057.22
146,SDSS J053951.99-005902.0,41.62,0.058229868,0.10379063,218127829076066.0
147,LSR 0602+3910 [de],34.6,0.026728464,0.14489583,51374049004147.27
148,2MASS J06085283-2753583,102.0,0.036274344,0.15517213,60793016273652.13
149,2MASS J06244595-4521548 [de],39.0,0.053456928,0.10173537,208421073003051.06
150,2MASS J06411840-4322329 [de],65.0,0.063957396,0.10379063,239583025378629.9
151,DENIS-P J0652197-253450 [de],51.0,0.0715941,0.10790115,248145643404142.88
152,2MASS J07075327-4900503,60.0,0.068730336,0.10584589,247560890733287.62
153,UGPS J072227.51-054031.2,13.4,0.024819288,0.10070774,98751837681240.5
154,2MASSI J0727182+171001 [de],29.6,0.039138108,0.09659722,169259143594020.94
155,2MASS J07290002-3954043 [de],25.8,0.035319756,0.09659722,152746056414116.47
156,SDSS J074201.41+205520.5 [de],49.0,0.041047284,0.09659722,177515687183973.2
157,DENIS-P J0751164-253043 [de],55.0,0.067775748,0.10584589,244122545028658.62
158,2MASS J07522390+1612157,60.0,0.001918722,6.987884,1585631441.2229495
159,DENIS J081730.0-615520,16.1,0.042001872,0.09659722,181643958978949.3
160,2MASS J08251968+2115521 [de],35.0,0.049638576,0.10070774,197503675362481.0
161,SDSSp J083008.12+482847.4 [de],43.0,0.045820224,0.10173537,178646634002615.2
162,LHS 2021,55.0,0.084003744,0.11817745,242723027831833.03
163,SDSS J083048.80+012831.1 [de],77.0,0.043911048,0.09865248,182070403721659.5
164,2MASSI J0835425-081923 [de],23.53,0.059184456,0.102763,226159939398535.88
165,2MASSI J0847287-153237 [de],43.0,0.061093632,0.102763,233455421314617.62
166,2MASS J08533619-0329321,27.6,0.073503276,0.10995641,245328023206523.94
167,2MASSI J0859254-194926 [de],50.0,0.0477294,0.10070774,189907380156231.75
168,2MASSI J0937347+293142,20.0,0.040092696,0.09659722,173387415388997.03
169,2MASS 0939−2448,17.4,0.030546816,0.09762485,129338183553804.78
170,2MASS J09490860-1545485 [de],59.0,0.046774812,0.09865248,193944560486115.56
171,2MASS J10073369-4555147,46.0,0.042001872,0.09659722,181643958978949.3
172,2MASSI J1010148-040649 [de],55.0,0.048683988,0.10070774,193705527759356.38
173,2MASS J10224821+5825453 [de],60.0,0.025773876,0.14489583,49539261539713.445
174,2MASSW J1036530-344138 [de],53.0,0.046774812,0.09968011,189966316233397.94
175,2MASS J1047538+212423 [de],34.4,0.040092696,0.09659722,173387415388997.03
176,DEN 1048-3956,13.15,0.073503276,0.10995641,245328023206523.94
177,Luhman 16B,6.516,0.041047284,0.10481826,150762073429218.28
178,Luhman 16A,6.516,0.03818352,0.10379063,143034642017092.5
179,DENIS-P J1058.7−1548,49.0,0.061093632,0.102763,233455421314617.62
180,TWA 28,180.0,0.034365168,0.24560357,22989561542947.85
181,Cha 110913-773444,163.0,0.007636704,0.1849734,9006767797631.852
182,SDSS J111010.01+011613.1,63.0,0.008591292,0.12742612,21351241299667.074
183,2MASS J11145133−2618235,18.2,0.031501404,0.09865248,130615724409016.6
184,TWA 26,137.0,0.02863764,0.2260786,22609964615956.0
185,2MASS J11544223-3400390 [de],129.0,0.035319756,0.1541445,59985073532228.14
186,2MASSW J1155395-372735 [de],31.0,0.061093632,0.102763,233455421314617.62
187,2MASS J12074836-3900043,217.0,0.016227996,0.17572473,21207070991653.945
188,2MASSI J1217110-031113 [de],36.0,0.040092696,0.09659722,173387415388997.03
189,2M 1237+6526,45.6,0.039138108,0.09659722,169259143594020.94
190,TWA 29,262.0,0.001909176,2.569075,11672771065.730877
191,SDSSp J125453.90-012247.4 [de],38.0,0.044865636,0.10070774,178512937346857.8
192,Kelu-1A,61.0,0.060139044,0.10070774,239283298996852.0
193,Kelu-1B,61.0,0.055366104,0.10070774,220292560981228.8
194,2MASS J13204427+0409045,101.0,0.063957396,0.10379063,239583025378629.9
195,SDSSp J132629.82-003831.5 [de],65.0,0.048683988,0.09968011,197720043426597.88
196,SDSSp J134646.45-003150.4 [de],48.0,0.042001872,0.09659722,181643958978949.3
197,2MASS J13595510-4034582,51.0,0.060139044,0.102763,229807680356576.75
198,ULAS J141623.94+134836.3,29.7,0.030546816,0.09865248,126657672154197.9
199,SDSS J141659.78+500626.4 [de],149.0,0.056320692,0.10173537,219586487628214.53
200,DENIS-P J142527.97-365023.4 [de],38.0,0.020046348,0.13564716,43963820086581.09
201,LHS 2924,38.5,0.072548688,0.10892878,246732211473040.53
202,2MASS J14392837+1929150,47.0,0.068730336,0.10584589,247560890733287.62
203,LSPM J1440+1339,72.0,0.087822096,0.12228797,236983382628177.94
204,2MASS J14482563+1031590 [de],47.0,0.056320692,0.10173537,219586487628214.53
205,CFBDSIR 1458+10A,104.0,0.010595927,0.1541445,17995522399337.117
206,CFBDSIR 1458+10B,104.0,0.008591292,0.1335919,19425839421519.574
207,TVLM 513-46546,35.1,0.0715941,0.10790115,248145643404142.88
208,2MASS 1503+2525,20.7,0.042001872,0.09659722,181643958978949.3
209,CFBDS J150411+102717,71.0,0.042001872,0.09659722,181643958978949.3
210,2MASSW J1506544+132106 [de],46.0,0.065866572,0.10481826,241920536432931.7
211,2MASS 1507−1627,23.9,0.05727528,0.10173537,223308292503269.0
212,TVLM 868-110639,53.0,0.075412452,0.11098404,247060644448929.25
213,2MASSW J1515008+484742 [de],34.0,0.054411516,0.10173537,212142877878105.56
214,2MASSI J1526140+204341 [de],67.0,0.051547752,0.10070774,205099970568730.28
215,DENIS-P J153941.96-052042.4 [de],51.0,0.060139044,0.102763,229807680356576.75
216,2MASS J15462718-3325111 [de],37.0,0.042001872,0.09659722,181643958978949.3
217,2MASSW J1552591+294849 [de],68.0,0.02863764,0.14695109,53514709150191.68
218,2MASSW J1555157-095605 [de],44.0,0.067775748,0.10584589,244122545028658.62
219,2MASS J16150413+1340079 [de],48.0,0.040092696,0.09659722,173387415388997.03
220,SDSSp J162414.37+002915.6 [de],36.0,0.041047284,0.09659722,177515687183973.2
221,2MASS J16262034+3925190 [de],110.0,0.067775748,0.10584589,244122545028658.62
222,2MASSW J1632291+190441 [de],50.0,0.046774812,0.09968011,189966316233397.94
223,WISEPA J164715.59+563208.2,28.0,0.039138108,0.09659722,169259143594020.94
224,LSPM J1658+7027 [de],60.0,0.069684924,0.10687352,246195534335230.84
225,2MASSI J1726000+153819,114.0,0.022910112,0.1438682,44666215812745.72
226,SDSSp J175032.96+175903.9,90.0,0.044865636,0.09968011,182212589040198.03
227,2MASS J18283572-4849046,39.0,0.04295646,0.09762485,181881820622538.0
228,LSR J1835+3259,18.5,0.073503276,0.10995641,245328023206523.94
229,2MASSW J1841086+311727,138.0,0.063957396,0.10379063,239583025378629.9
230,2MASS J18432213+4040209,46.0,0.091640448,0.12537086,235274880389630.7
231,2MASS J20004841-7523070,105.0,0.0238647,0.19319444,25801698718600.758
232,SDSS J204749.61-071818.3,65.0,0.043911048,0.09865248,182070403721659.5
233,2MASSI J2057540-025230,47.0,0.06682116,0.10481826,245426631163843.78
234,2MASSI J2104149-103736,62.0,0.065866572,0.10481826,241920536432931.7
235,PSO J318.5−22,80.0,0.006204822,0.15722739,10128718111523.71
236,HB 2124-4228,113.0,0.089731272,0.12434323,234196878666651.62
237,2MASS J21392676+0220226,32.1,0.043911048,0.09865248,182070403721659.5
238,2MASS J21481628+4003593,26.3,0.05250234,0.10173537,204699268127996.6
239,2MASSW J2206450-421721,93.0,0.021000936,0.13667479,45367347547571.83
240,2MASSW J2208136+292121,154.0,0.025773876,0.14489583,49539261539713.445
241,2MASSW J2224438-015852,38.0,0.058229868,0.10173537,227030097378323.47
242,2MASS J22282889-4310262,35.0,0.040092696,0.09659722,173387415388997.03
243,2MASS J22373255+3922398,64.0,0.069684924,0.10687352,246195534335230.84
244,2MASSW J2244316+204343,56.0,0.011455056,0.13256427,26304243432780.95
245,2MASS J23224684-3133231,56.0,0.022910112,0.14284057,45311206973232.03
246,2MASS J23225299-6151275,148.0,0.016227996,0.16339317,24528933304337.367
247,2MASS J23515044-2537367,67.0,0.084003744,0.11920508,238556186316586.84
248,2MASSI J2356547-155310,74.0,0.07636704,0.11201167,245618446800161.7
249,WISE 0410+1502,20.0,0.005727528,0.12023271,15988345202896.775
250,WISE 0458+6434A,35.9,0.01431882,0.4316046,3101820542551.7856
251,WISE 0458+6434B,35.9,0.00954588,0.3904994,2526136397535.25
252,WISE 1405+5534,25.3,0.02863764,0.08837618,147961369309392.9
